Academic Year,Program 1,Term 1,Program 2,Term 2,Need Category,Program Type 1
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,No,Summer
2017-2018 Academic Year,Luther Independent Study / Directed Reading / Internship,Summer,,,No,Independent J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,No,Summer
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,No,Luther Sem./Year
2017-2018 Academic Year,Kenchreai Field School,Summer,,,No,Summer
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,API Humanities and Social Sciences in Buenos Aires,Spring,,,No,Other Sem./Year
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,MÃ¼nster Semester,Spring,,,No,Luther Sem./Year
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,IFSA- Griffith University,Spring,,,No,Other Sem./Year
2017-2018 Academic Year,"ISA Sevilla, Spain: International Studies, Business & Spanish Language - Academic Year/Semester",Spring,,,No,Other Sem./Year
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Chicago Center,Fall,,,No,Domestic Sem./Year
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,No,Summer
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,No,Luther Sem./Year
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,Luther Independent Study / Directed Reading / Internship,Summer,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,,,No,Other Sem./Year
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,ACM Tanzania: Ecology & Human Origins,Fall,,,No,Other Sem./Year
2017-2018 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,MÃ¼nster Semester,Spring,,,Very low,Luther Sem./Year
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,London School of Economics,Academic Year,,,Very low,Other Sem./Year
2017-2018 Academic Year,API Business and Latin American Studies in Vina del Mar,Spring,,,Very low,Other Sem./Year
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Luther Independent Study / Directed Reading / Internship,Summer,,,Very low,Independent J-Term
2017-2018 Academic Year,Lutheran College Washington Semester,Spring,,,Very low,Domestic Sem./Year
2017-2018 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Very low,Luther Sem./Year
2017-2018 Academic Year,Biology 247: Subtropical and Marine Biology,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,University of South-Eastern Norway at BÃ¸,Fall,,,Very low,Other Sem./Year
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,Very low,Summer
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Stony Brook University - Madagascar,Fall,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,Very low,Other Sem./Year
2017-2018 Academic Year,Lutheran College Washington Semester,Fall,,,Very low,Domestic Sem./Year
2017-2018 Academic Year,Nottingham Summer Nursing,Summer,,,Very low,Summer
2017-2018 Academic Year,University of Agder,Fall,,,Very low,Other Sem./Year
2017-2018 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,,,Very low,Other Sem./Year
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,Very low,Summer
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,Very low,Summer
2017-2018 Academic Year,Lutheran College Washington Semester,Spring,,,Very low,Domestic Sem./Year
2017-2018 Academic Year,API Semester French Language and Culture Studies in Grenoble,Spring,,,Very low,Other Sem./Year
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,Spanish 340: Language and Culture in Argentina,J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Very low,Luther J-Term
2017-2018 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Fall,,,low,Other Sem./Year
2017-2018 Academic Year,CIS Abroad Semester in Thailand - Mahidol University,Spring,,,low,Other Sem./Year
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,low,Luther J-Term
2017-2018 Academic Year,International Student Teaching,Fall,,,low,Intl. Teaching
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,International Student Teaching,Spring,,,low,Intl. Teaching
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Nottingham Summer Nursing,Summer,,,low,Summer
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Earth & Environment in Italy,Fall,,,low,Luther Sem./Year
2017-2018 Academic Year,Biology 247: Subtropical and Marine Biology,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,low,Luther Sem./Year
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Computer Science 385/Management 385: Understanding Entrepreneurship in Silicon Valley,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,API Semester Spanish Language and Culture Studies in Salamanca,Spring,,,low,Other Sem./Year
2017-2018 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,University of Oslo International Summer School,Summer,,,low,Summer
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Chicago Center,Spring,,,low,Domestic Sem./Year
2017-2018 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Biology 247: Subtropical and Marine Biology,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,low,Summer
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Biology 247: Subtropical and Marine Biology,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,low,Summer
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,low,Summer
2017-2018 Academic Year,MÃ¼nster Semester,Spring,,,low,Luther Sem./Year
2017-2018 Academic Year,Biology 247: Subtropical and Marine Biology,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,API Spanish Language and Latin American Studies in Valparaiso,Spring,low,Luther J-Term
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,low,Luther J-Term
2017-2018 Academic Year,Malta and the Mediterranean,Spring,,,low,Luther Sem./Year
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,Nottingham Summer Nursing,Summer,low,Luther J-Term
2017-2018 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"ISA Seoul, South Korea: STEM, Social Sciences & Liberal Arts - Semester",Spring,,,Med,Other Sem./Year
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Biology 247: Subtropical and Marine Biology,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Spanish 340: Language and Culture in Argentina,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,CIS Abroad Summer in Tokyo - Seisen University,Summer,Med,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2017-2018 Academic Year,Spanish 340: Language and Culture in Argentina,J-Term,"ISA Valparaiso/ Vina del Mar, Chile: Spanish Language & Latin American Studies - Summer",Summer,Med,Luther J-Term
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2017-2018 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Spanish 340: Language and Culture in Argentina,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2017-2018 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Chicago Center,Spring,,,Med,Domestic Sem./Year
2017-2018 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Computer Science 385/Management 385: Understanding Entrepreneurship in Silicon Valley,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Nottingham Summer Nursing,Summer,,,Med,Summer
2017-2018 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,Med,Summer
2017-2018 Academic Year,Spanish 340: Language and Culture in Argentina,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Nottingham Summer Nursing,Summer,,,Med,Summer
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,API Humanities and Social Sciences in Buenos Aires,Spring,,,Med,Other Sem./Year
2017-2018 Academic Year,JASIN: Nagasaki University of Foreign Studies,Spring,,,Med,Other Sem./Year
2017-2018 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,,,Med,Other Sem./Year
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Nottingham Summer Nursing,Summer,,,Med,Summer
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Chicago Center,Spring,,,Med,Domestic Sem./Year
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Luther Independent Study / Directed Reading / Internship,J-Term,,,Med,Independent J-Term
2017-2018 Academic Year,Computer Science 385/Management 385: Understanding Entrepreneurship in Silicon Valley,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,"CIEE Liberal Arts Program in Alicante, Spain",Spring,,,Med,Other Sem./Year
2017-2018 Academic Year,Biology 247: Subtropical and Marine Biology,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Nottingham Summer Nursing,Summer,,,Med,Summer
2017-2018 Academic Year,Lutheran College Washington Semester,Spring,,,Med,Domestic Sem./Year
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,University of South-Eastern Norway at BÃ¸,Fall,,,Med,Other Sem./Year
2017-2018 Academic Year,"ISA Bilbao, Spain: Spanish Language & Liberal Arts in English and Spanish- Academic Year/Semester",Fall,,,Med,Other Sem./Year
2017-2018 Academic Year,API Semester Spanish Language and Culture for Beginning/Intermediate Speakers in Granada,Spring,,,Med,Other Sem./Year
2017-2018 Academic Year,Chicago Center,Fall,,,Med,Domestic Sem./Year
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,Med,Summer
2017-2018 Academic Year,Universite du Quebec a Chicoutimi,Summer,,,Med,Summer
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,High,Luther J-Term
2017-2018 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,Med,Summer
2017-2018 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Med,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,High,Luther J-Term
2017-2018 Academic Year,"ISA Barranquilla, Colombia: Latin American Studies, International Business, Engineering & Courses with Locals-Semester",Spring,,,High,Other Sem./Year
2017-2018 Academic Year,Computer Science 385/Management 385: Understanding Entrepreneurship in Silicon Valley,J-Term,,,High,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,High,Luther J-Term
2017-2018 Academic Year,MÃ¼nster Semester,Spring,,,High,Luther Sem./Year
2017-2018 Academic Year,Lutheran College Washington Semester,Fall,,,High,Domestic Sem./Year
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,High,Luther J-Term
2017-2018 Academic Year,Computer Science 385/Management 385: Understanding Entrepreneurship in Silicon Valley,J-Term,,,High,Luther J-Term
2017-2018 Academic Year,Kenchreai Field School,Summer,,,High,Summer
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,High,Luther J-Term
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,High,Luther J-Term
